BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour,Tokenized_Details
zink london,floral square neck rayon womens dresses,"Size:Large,Medium,Small,X-Large",2599.0,1299.0,50.0,dresses,black,"['floral', 'square', 'neck', 'rayon', 'womens', 'dresses']"
zink london,structured halter neck polyester womens shift dress,"Size:Medium,X-Large",3499.0,1399.0,60.0,shift dress,blue,"['structured', 'halter', 'neck', 'polyester', 'womens', 'shift', 'dress']"
faballey,printed v neck crepe womens comfort fit midi dress,"Size:Medium,Small",1900.0,950.0,50.0,comfort fit midi dress,blue,"['printed', 'v', 'neck', 'crepe', 'womens', 'comfort', 'fit', 'midi', 'dress']"
zink london,printed cotton round neck womens regular fit t-shirt,"Size:Medium,Small,X-Small",1299.0,399.0,69.0,regular fit t-shirt,green,"['printed', 'cotton', 'round', 'neck', 'womens', 'regular', 'fit', 't-shirt']"
vero moda,solid viscose round neck womens  tops,"Size:Large,Medium,Small,X-Large,X-Small",2599.0,1559.0,40.0,tops,purple,"['solid', 'viscose', 'round', 'neck', 'womens', 'tops']"
van heusen,solid v-neck modal womens top,"Size:Large,Medium,Small,X-Large,X-Small",1899.0,999.0,47.0,top,yellow,"['solid', 'v-neck', 'modal', 'womens', 'top']"
latin quarters,solid polyester womens regular knit top,"Size:S,M,L,XL",1499.0,499.0,67.0,regular knit top,blue,"['solid', 'polyester', 'womens', 'regular', 'knit', 'top']"
allen solly,solid polyester cotton round neck womens regular top,"Size:Large,Medium",1699.0,1019.0,40.0,regular top,white,"['solid', 'polyester', 'cotton', 'round', 'neck', 'womens', 'regular', 'top']"
forever new,solid v neck viscose womens dresses,"Size:6,8,12",6800.0,4760.0,30.0,dresses,pink,"['solid', 'v', 'neck', 'viscose', 'womens', 'dresses']"
forever new,solid collar neck tencel womens regular dress,Size:10,5800.0,3770.0,35.0,regular dress,navy,"['solid', 'collar', 'neck', 'tencel', 'womens', 'regular', 'dress']"
madame,solid cotton round neck womens regular top,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,539.0,40.0,regular top,mauve,"['solid', 'cotton', 'round', 'neck', 'womens', 'regular', 'top']"
cover story,solid round neck cotton poly spandex womens regular dress,"Size:Large,Medium,Small,X-Small",2290.0,1374.0,40.0,regular dress,pink,"['solid', 'round', 'neck', 'cotton', 'poly', 'spandex', 'womens', 'regular', 'dress']"
adidas,stripes cotton fitted womens casual tights,"Size:Large,Medium,Small,X-Large,X-Small",1799.0,1259.0,30.0,casual tights,grey,"['stripes', 'cotton', 'fitted', 'womens', 'casual', 'tights']"
kraus,solid skinny fit tencel womens casual trousers,"Size:28,30,32,34,36",1695.0,1186.0,30.0,casual trousers,light blue,"['solid', 'skinny', 'fit', 'tencel', 'womens', 'casual', 'trousers']"
altlife,solid cotton round neck womens active wear t-shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399.0,199.0,50.0,active wear t-shirt,white,"['solid', 'cotton', 'round', 'neck', 'womens', 'active', 'wear', 't-shirt']"
sera,printed mandarin neck polyester womens fit and flare dress,"Size:Large,X-Large",1594.0,717.0,55.0,fit and flare dress,cream,"['printed', 'mandarin', 'neck', 'polyester', 'womens', 'fit', 'flare', 'dress']"
life,printed tight fit cotton lycra womens active wear tights,"Size:28,30,32,34,36",999.0,499.0,50.0,active wear tights,black,"['printed', 'tight', 'fit', 'cotton', 'lycra', 'womens', 'active', 'wear', 'tights']"
altlife,solid cotton regular neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",599.0,299.0,50.0,t-shirt,blush,"['solid', 'cotton', 'regular', 'neck', 'womens', 't-shirt']"
madame,printed polyester sweatheart neck womens top,Size:X-Large,1599.0,799.0,50.0,top,off white,"['printed', 'polyester', 'sweatheart', 'neck', 'womens', 'top']"
insense,solid polyester blend loose fit womens joggers,"Size:28,30,32,34,36",999.0,499.0,50.0,joggers,black,"['solid', 'polyester', 'blend', 'loose', 'fit', 'womens', 'joggers']"
zink london,lace round neck polyester womens midi dress,"Size:Large,Medium,Small,X-Large",2699.0,2159.0,20.0,midi dress,pink,"['lace', 'round', 'neck', 'polyester', 'womens', 'midi', 'dress']"
fratini,solid regular fit tencel womens casual pants,"Size:26,28,30,32,34,36",1499.0,749.0,50.0,casual pants,mid blue,"['solid', 'regular', 'fit', 'tencel', 'womens', 'casual', 'pants']"
life,solid cotton round neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,regular top,navy,"['solid', 'cotton', 'round', 'neck', 'womens', 'regular', 'top']"
infuse,solid collared neck tencel womens regular fit shirt dress,"Size:Large,Small,X-Small",1299.0,779.0,40.0,regular fit shirt dress,indigo,"['solid', 'collared', 'neck', 'tencel', 'womens', 'regular', 'fit', 'shirt', 'dress']"
zink london,stripes polyester womens shift dress,"Size:Large,X-Large",1999.0,799.0,60.0,shift dress,multi,"['stripes', 'polyester', 'womens', 'shift', 'dress']"
altlife,solid cotton stretch full length womens joggers,"Size:28,30,32,34,36",1299.0,649.0,50.0,joggers,black,"['solid', 'cotton', 'stretch', 'full', 'length', 'womens', 'joggers']"
altlife,printed cotton regular neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",499.0,249.0,50.0,t-shirt,black,"['printed', 'cotton', 'regular', 'neck', 'womens', 't-shirt']"
zink london,womens multi stripes shirt style dress,Size:X-Small,2799.0,699.0,75.0,multi stripes shirt style dress,grey,"['womens', 'multi', 'stripes', 'shirt', 'style', 'dress']"
zink london,textured sweetheart neck polyester womens midi dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499.0,40.0,midi dress,blue,"['textured', 'sweetheart', 'neck', 'polyester', 'womens', 'midi', 'dress']"
allen solly,solid polyester regular fit womens trousers,"Size:28,30,32,34",2299.0,1379.0,40.0,trousers,olive,"['solid', 'polyester', 'regular', 'fit', 'womens', 'trousers']"
iti,womens black high low lace top,"Size:Large,Medium,Small,X-Large,X-Small",1899.0,599.0,68.0,black high low lace top,black,"['womens', 'black', 'high', 'low', 'lace', 'top']"
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34",999.0,499.0,50.0,jeans,ice,"['regular', 'fit', 'regular', 'length', 'cotton', 'lycra', 'womens', 'jeans']"
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34",999.0,499.0,50.0,jeans,indigo,"['regular', 'fit', 'regular', 'length', 'cotton', 'lycra', 'womens', 'jeans']"
and,solid polyester v neck womens regular top,Size:10,1699.0,1359.0,20.0,regular top,wine,"['solid', 'polyester', 'v', 'neck', 'womens', 'regular', 'top']"
faballey,printed georgette strappy neck womens regular dress,"Size:Large,Small,X-Large,X-Small",2700.0,2160.0,20.0,regular dress,yellow,"['printed', 'georgette', 'strappy', 'neck', 'womens', 'regular', 'dress']"
vero moda,stripes shirt collar polyester womens casual shirt,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,1749.0,30.0,casual shirt,blue,"['stripes', 'shirt', 'collar', 'polyester', 'womens', 'casual', 'shirt']"
and,solid viscose round neck womens straight top,"Size:8,10,12,14,16",2699.0,1349.0,50.0,straight top,orange,"['solid', 'viscose', 'round', 'neck', 'womens', 'straight', 'top']"
kraus,super skinny fit ankle length cotton womens jeans,"Size:28,30,32,34,36,38",1895.0,947.0,50.0,jeans,blue,"['super', 'skinny', 'fit', 'ankle', 'length', 'cotton', 'womens', 'jeans']"
magre,solid polyester blend regular fit womens casual pants,"Size:Large,Medium,Small,X-Small",2199.0,1319.0,40.0,casual pants,maroon,"['solid', 'polyester', 'blend', 'regular', 'fit', 'womens', 'casual', 'pants']"
spykar,regular fit regular cotton womens jeans,"Size:26,28,30,32,34,36",2699.0,1889.0,30.0,jeans,light blue,"['regular', 'fit', 'regular', 'cotton', 'womens', 'jeans']"
zink london,printed polyester u neck womens dress,"Size:Large,Medium,Small,X-Large,XX-Large",2799.0,1679.0,40.0,dress,pink,"['printed', 'polyester', 'u', 'neck', 'womens', 'dress']"
fratini,printed viscose round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,XX-Large",699.0,349.0,50.0,t-shirt,sage,"['printed', 'viscose', 'round', 'neck', 'womens', 't-shirt']"
altlife,regular fit thigh length cotton womens active wear shorts,"Size:28,30,32,34,36",499.0,249.0,50.0,active wear shorts,red,"['regular', 'fit', 'thigh', 'length', 'cotton', 'womens', 'active', 'wear', 'shorts']"
only,self design viscose womens regular top,"Size:34,36,38,40,42",2799.0,1679.0,40.0,regular top,yellow,"['self', 'design', 'viscose', 'womens', 'regular', 'top']"
van heusen,solid polyester v-neck womens woven top,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,999.0,41.0,woven top,red,"['solid', 'polyester', 'v-neck', 'womens', 'woven', 'top']"
and,womens stripes casual wear jumpsuit,Size:18,3499.0,1399.0,60.0,stripes casual wear jumpsuit,natural,"['womens', 'stripes', 'casual', 'wear', 'jumpsuit']"
infuse,solid cotton round neck womens regular fit t-shirt - pack of 2,"Size:Large,Medium,Small,X-Large,X-Small",699.0,419.0,40.0,regular fit t-shirt - pack of 2,multi,"['solid', 'cotton', 'round', 'neck', 'womens', 'regular', 'fit', 't-shirt', '-', 'pack', '2']"
altlife,solid cotton ankle length womens active wear joggers,"Size:28,30,32,34,36",899.0,449.0,50.0,active wear joggers,grey melange,"['solid', 'cotton', 'ankle', 'length', 'womens', 'active', 'wear', 'joggers']"
only,placement print cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,1999.0,20.0,t-shirt,black,"['placement', 'print', 'cotton', 'round', 'neck', 'womens', 't-shirt']"
sera,womens regular fit printed round neck a-line dress,"Size:Large,Medium,Small,X-Large",1698.0,679.0,60.0,regular fit printed round neck a-line dress,brown,"['womens', 'regular', 'fit', 'printed', 'round', 'neck', 'a-line', 'dress']"
only,solid viscose v neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,909.0,30.0,t-shirt,pink,"['solid', 'viscose', 'v', 'neck', 'womens', 't-shirt']"
faballey,printed half sleeves crepe womens regular length jumpsuits,"Size:Large,Medium,Small,X-Small",2400.0,1920.0,20.0,regular length jumpsuits,black,"['printed', 'half', 'sleeves', 'crepe', 'womens', 'regular', 'length', 'jumpsuits']"
vh flex,printed cotton round neck womens regular fit t-shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1299.0,399.0,69.0,regular fit t-shirt,blue,"['printed', 'cotton', 'round', 'neck', 'womens', 'regular', 'fit', 't-shirt']"
life,printed cotton round neck womens regular t-shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399.0,199.0,50.0,regular t-shirt,navy,"['printed', 'cotton', 'round', 'neck', 'womens', 'regular', 't-shirt']"
zink london,floral polyester regular fit womens pants,"Size:Large,Medium,Small,X-Large",1999.0,1199.0,40.0,pants,off white,"['floral', 'polyester', 'regular', 'fit', 'womens', 'pants']"
kraus,slim mid thigh cotton blend womens casual wear shorts,"Size:28,30,32,34,36",1395.0,697.0,50.0,casual wear shorts,blue,"['slim', 'mid', 'thigh', 'cotton', 'blend', 'womens', 'casual', 'wear', 'shorts']"
allen solly,textured cotton round neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2299.0,1839.0,20.0,dress,peach,"['textured', 'cotton', 'round', 'neck', 'womens', 'dress']"
zink london,straight fit full length viscose womens casual skirt,"Size:Large,Medium,Small,X-Large,X-Small",1899.0,1139.0,40.0,casual skirt,cream,"['straight', 'fit', 'full', 'length', 'viscose', 'womens', 'casual', 'skirt']"
fratini,printed round neck  womens top,"Size:Large,Medium,Small,X-Large,XX-Large",699.0,349.0,50.0,top,white,"['printed', 'round', 'neck', 'womens', 'top']"
kraus,skinny fit ankle length cotton womens jeans,"Size:28,30,32,34,36,38",1895.0,1326.0,30.0,jeans,olive,"['skinny', 'fit', 'ankle', 'length', 'cotton', 'womens', 'jeans']"
fratini,printed polyester blend round neck womens regular t-shirt,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,649.0,50.0,regular t-shirt,lilac,"['printed', 'polyester', 'blend', 'round', 'neck', 'womens', 'regular', 't-shirt']"
life,printed round neck cotton womens regular fit top,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299.0,50.0,regular fit top,black,"['printed', 'round', 'neck', 'cotton', 'womens', 'regular', 'fit', 'top']"
vero moda,printed round neck cotton womens  dresses,"Size:Large,Medium,Small,X-Large,X-Small",3499.0,2449.0,30.0,dresses,white,"['printed', 'round', 'neck', 'cotton', 'womens', 'dresses']"
zink london,embellished polyester high neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2199.0,1319.0,40.0,top,natural,"['embellished', 'polyester', 'high', 'neck', 'womens', 'top']"
life,solid regular fit cotton lycra womens casual pants,"Size:26,28,30,32,34",999.0,499.0,50.0,casual pants,black,"['solid', 'regular', 'fit', 'cotton', 'lycra', 'womens', 'casual', 'pants']"
rare,three quarter sleeves regular fit womens casual top,"Size:Large,Medium,Small,X-Large",1599.0,639.0,60.0,casual top,green,"['three', 'quarter', 'sleeves', 'regular', 'fit', 'womens', 'casual', 'top']"
rare,three quarter sleeves regular fit womens casual top,"Size:Large,Medium,Small,X-Large",1499.0,599.0,60.0,casual top,purple,"['three', 'quarter', 'sleeves', 'regular', 'fit', 'womens', 'casual', 'top']"
forever new,solid polyester cowl neck womens top,Size:6,2400.0,1680.0,30.0,top,blue,"['solid', 'polyester', 'cowl', 'neck', 'womens', 'top']"
reebok,solid slim fit polyester womens athleisure track pants,"Size:Small,X-Small",1599.0,799.0,50.0,athleisure track pants,pink,"['solid', 'slim', 'fit', 'polyester', 'womens', 'athleisure', 'track', 'pants']"
myshka,printed cotton v neck womens casual shrug,"Size:X-Large,XX-Large",1899.0,569.0,70.0,casual shrug,yellow,"['printed', 'cotton', 'v', 'neck', 'womens', 'casual', 'shrug']"
stop,printed collared neck polyester womens formal shirt,"Size:Large,Medium,Small,X-Large",999.0,499.0,50.0,formal shirt,double black,"['printed', 'collared', 'neck', 'polyester', 'womens', 'formal', 'shirt']"
life,embroidered cotton round neck womens regular t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",499.0,249.0,50.0,regular t-shirt,olive,"['embroidered', 'cotton', 'round', 'neck', 'womens', 'regular', 't-shirt']"
zink london,printed polyester v neck womens dress,"Size:Large,Medium,Small,X-Small",2999.0,1799.0,40.0,dress,red,"['printed', 'polyester', 'v', 'neck', 'womens', 'dress']"
and,solid square neck linen womens flared dress,"Size:8,10,12,14,16,18",2699.0,2159.0,20.0,flared dress,orange,"['solid', 'square', 'neck', 'linen', 'womens', 'flared', 'dress']"
altlife,solid cotton stretch regular neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,399.0,50.0,t-shirt,black,"['solid', 'cotton', 'stretch', 'regular', 'neck', 'womens', 't-shirt']"
zink london,printed rayon collar neck womens casual shirt,"Size:Large,Medium,Small,X-Large",1399.0,839.0,40.0,casual shirt,white,"['printed', 'rayon', 'collar', 'neck', 'womens', 'casual', 'shirt']"
vero moda,stripes v neck cotton womens casual wear blazers,"Size:Large,Medium,Small,X-Large,X-Small",3299.0,2309.0,30.0,casual wear blazers,orange,"['stripes', 'v', 'neck', 'cotton', 'womens', 'casual', 'wear', 'blazers']"
adidas,solid polyester polo collar womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,t-shirt,black,"['solid', 'polyester', 'polo', 'collar', 'womens', 't-shirt']"
madame,printed cotton round neck womens top,"Size:Large,Medium,Small,X-Large,XX-Large",1199.0,719.0,40.0,top,white,"['printed', 'cotton', 'round', 'neck', 'womens', 'top']"
latin quarters,dyed polyester round neck womens casual jacket,Size:S,2999.0,1499.0,50.0,casual jacket,pink,"['dyed', 'polyester', 'round', 'neck', 'womens', 'casual', 'jacket']"
kraus,solid tencel comfort fit womens casual trousers,"Size:28,34",1695.0,1525.0,10.0,casual trousers,light blue,"['solid', 'tencel', 'comfort', 'fit', 'womens', 'casual', 'trousers']"
and,floral linen square neck womens flared top,"Size:8,12,16",2099.0,1679.0,20.0,flared top,pink,"['floral', 'linen', 'square', 'neck', 'womens', 'flared', 'top']"
kraus,crop fit crop cotton womens jeans,"Size:28,30,32,34,36,38",1895.0,947.0,50.0,jeans,blue,"['crop', 'fit', 'crop', 'cotton', 'womens', 'jeans']"
vero moda,solid v neck polyester womens  dresses,"Size:Large,Medium,Small,X-Large,X-Small",2999.0,1799.0,40.0,dresses,pink,"['solid', 'v', 'neck', 'polyester', 'womens', 'dresses']"
vero moda,solid polyester round neck womens  shirts,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,1999.0,20.0,shirts,moss green,"['solid', 'polyester', 'round', 'neck', 'womens', 'shirts']"
faballey,printed v neck georgette womens regular dress,"Size:Medium,Small,X-Large,X-Small",2600.0,1300.0,50.0,regular dress,pink,"['printed', 'v', 'neck', 'georgette', 'womens', 'regular', 'dress']"
fratini,regular fit above knee tencel womens casual shorts,"Size:26,28,30,32,34,36",1299.0,649.0,50.0,casual shorts,black,"['regular', 'fit', 'knee', 'tencel', 'womens', 'casual', 'shorts']"
altlife,printed cotton round neck womens active wear t-shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399.0,199.0,50.0,active wear t-shirt,black,"['printed', 'cotton', 'round', 'neck', 'womens', 'active', 'wear', 't-shirt']"
adidas,regular fit cotton womens active wear tights,"Size:Small,X-Small",1599.0,799.0,50.0,active wear tights,black,"['regular', 'fit', 'cotton', 'womens', 'active', 'wear', 'tights']"
zink london,regular fit ankle length polyester womens casual skirt,"Size:Large,Small,X-Small",1699.0,1019.0,40.0,casual skirt,off white,"['regular', 'fit', 'ankle', 'length', 'polyester', 'womens', 'casual', 'skirt']"
forever new,solid viscose blend collar neck womens top,Size:X-Small,2600.0,1820.0,30.0,top,tan,"['solid', 'viscose', 'blend', 'collar', 'neck', 'womens', 'top']"
infuse,solid polyester round neck womens regular fit woven top,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499.0,50.0,regular fit woven top,aubergine,"['solid', 'polyester', 'round', 'neck', 'womens', 'regular', 'fit', 'woven', 'top']"
only,lace viscose mandarin womens top,"Size:34,36,38,40,42",2499.0,1499.0,40.0,top,green,"['lace', 'viscose', 'mandarin', 'womens', 'top']"
only,printed cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",1699.0,1019.0,40.0,t-shirt,pink,"['printed', 'cotton', 'round', 'neck', 'womens', 't-shirt']"
only,polyester cotton womens sweatshirt,"Size:Large,Medium,Small,X-Large,X-Small",3699.0,2219.0,40.0,sweatshirt,pink,"['polyester', 'cotton', 'womens', 'sweatshirt']"
infuse,regular fit full length cotton womens loungewear pyjamas,"Size:28,30",599.0,299.0,50.0,loungewear pyjamas,brown,"['regular', 'fit', 'full', 'length', 'cotton', 'womens', 'loungewear', 'pyjamas']"
zink london,floral polyester sleeveless womens jumpsuit,"Size:Large,Medium,Small,X-Large,XX-Large",2699.0,1619.0,40.0,jumpsuit,off white,"['floral', 'polyester', 'sleeveless', 'womens', 'jumpsuit']"
rare,solid regular fit polyester womens casual wear trousers,"Size:Large,Medium,Small,X-Large",1899.0,854.0,55.0,casual wear trousers,black,"['solid', 'regular', 'fit', 'polyester', 'womens', 'casual', 'wear', 'trousers']"
zink london,printed rayon collar neck womens casual shirt,"Size:Medium,X-Large,X-Small,XX-Large",1699.0,1019.0,40.0,casual shirt,multi,"['printed', 'rayon', 'collar', 'neck', 'womens', 'casual', 'shirt']"
zink london,regular fit regular length polyester womens casual shorts,"Size:Large,Medium,Small,X-Large",1399.0,839.0,40.0,casual shorts,green,"['regular', 'fit', 'regular', 'length', 'polyester', 'womens', 'casual', 'shorts']"
cover story,solid square neck poly spandex womens regular top,"Size:Large,Medium,X-Large,X-Small",2490.0,1494.0,40.0,regular top,natural,"['solid', 'square', 'neck', 'poly', 'spandex', 'womens', 'regular', 'top']"
only,cotton skinny fit womens jeans,"Size:Large,Medium,Small,X-Large,X-Small",4499.0,3149.0,30.0,jeans,blue,"['cotton', 'skinny', 'fit', 'womens', 'jeans']"
madame,solid cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Large",899.0,539.0,40.0,t-shirt,dark pink,"['solid', 'cotton', 'round', 'neck', 'womens', 't-shirt']"
life,solid cotton lycra ankle length womens active wear tights,"Size:28,30,32,34,36",999.0,499.0,50.0,active wear tights,black,"['solid', 'cotton', 'lycra', 'ankle', 'length', 'womens', 'active', 'wear', 'tights']"
latin quarters,printed polyester womens regular dress,"Size:S,M,L,XL,XX-Large",2399.0,1679.0,30.0,regular dress,brown,"['printed', 'polyester', 'womens', 'regular', 'dress']"
van heusen,printed polyester cotton v neck womens formal wear shirt,"Size:Large,Medium,Small,X-Large",1499.0,999.0,33.0,formal wear shirt,white,"['printed', 'polyester', 'cotton', 'v', 'neck', 'womens', 'formal', 'wear', 'shirt']"
only,embroidered viscose cotton round neck womens top,"Size:34,36,38,40,42",2799.0,1959.0,30.0,top,white,"['embroidered', 'viscose', 'cotton', 'round', 'neck', 'womens', 'top']"
lovegen,womens strappy neck printed top,Size:X-Small,1299.0,389.0,70.0,strappy neck printed top,black mix,"['womens', 'strappy', 'neck', 'printed', 'top']"
van heusen,solid cotton regular fit womens trousers,"Size:28,30,32,34",1699.0,999.0,41.0,trousers,navy,"['solid', 'cotton', 'regular', 'fit', 'womens', 'trousers']"
infuse,solid collared neck cotton blend womens regular fit a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",3199.0,959.0,70.0,regular fit a-line dress,white,"['solid', 'collared', 'neck', 'cotton', 'blend', 'womens', 'regular', 'fit', 'a-line', 'dress']"
faballey,solid georgette v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",1400.0,1120.0,20.0,top,pink,"['solid', 'georgette', 'v', 'neck', 'womens', 'top']"
vero moda,printed cotton v neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,1749.0,30.0,top,natural,"['printed', 'cotton', 'v', 'neck', 'womens', 'top']"
kraus,solid cotton round neck womens casual shirt,"Size:Large,Medium,Small,X-Small",1399.0,1259.0,10.0,casual shirt,white,"['solid', 'cotton', 'round', 'neck', 'womens', 'casual', 'shirt']"
adidas,stripes regular cotton womens sports wear pants,"Size:32,36,40,44",1499.0,1049.0,30.0,sports wear pants,carbon,"['stripes', 'regular', 'cotton', 'womens', 'sports', 'wear', 'pants']"
and,floral polyester square neck womens straight dress,"Size:6,12,14,16",2899.0,2319.0,20.0,straight dress,yellow,"['floral', 'polyester', 'square', 'neck', 'womens', 'straight', 'dress']"
van heusen,solid cotton collar neck womens casual shirt,Size:X-Large,1699.0,999.0,41.0,casual shirt,white,"['solid', 'cotton', 'collar', 'neck', 'womens', 'casual', 'shirt']"
zink london,lace cotton round neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2999.0,1799.0,40.0,dress,red,"['lace', 'cotton', 'round', 'neck', 'womens', 'dress']"
indya,regular fit full length georgette womens festive wear skirt,"Size:Medium,Small,X-Small",3950.0,1975.0,50.0,festive wear skirt,purple,"['regular', 'fit', 'full', 'length', 'georgette', 'womens', 'festive', 'wear', 'skirt']"
zink london,printed rayon sweetheart neck womens dress,"Size:Large,Small,X-Small",2299.0,1379.0,40.0,dress,blue,"['printed', 'rayon', 'sweetheart', 'neck', 'womens', 'dress']"
and,solid polyester v neck womens straight top,"Size:8,10,12,14,16,18",2299.0,1839.0,20.0,straight top,pink,"['solid', 'polyester', 'v', 'neck', 'womens', 'straight', 'top']"
and,floral round neck polyester womens straight gown,"Size:8,10,12,14,16",3699.0,2959.0,20.0,straight gown,multi,"['floral', 'round', 'neck', 'polyester', 'womens', 'straight', 'gown']"
indya,printed georgette v neck womens festive wear shrug,Size:XX-Large,1950.0,975.0,50.0,festive wear shrug,purple,"['printed', 'georgette', 'v', 'neck', 'womens', 'festive', 'wear', 'shrug']"
kraus,skinny fit ankle length cotton blend womens jeans,"Size:28,30,32,34,36,38",1895.0,1326.0,30.0,jeans,light blue,"['skinny', 'fit', 'ankle', 'length', 'cotton', 'blend', 'womens', 'jeans']"
zink london,solid high neck nylon womens sweater,"Size:Large,Small,X-Large",3499.0,1399.0,60.0,sweater,pink,"['solid', 'high', 'neck', 'nylon', 'womens', 'sweater']"
zink london,solid v neck polyester womens midi dress,"Size:Large,Medium,Small,X-Large",2299.0,1839.0,20.0,midi dress,natural,"['solid', 'v', 'neck', 'polyester', 'womens', 'midi', 'dress']"
madame,embroidered cotton blend round neck womens regular top,"Size:Large,Medium,Small,X-Large",999.0,699.0,30.0,regular top,off white,"['embroidered', 'cotton', 'blend', 'round', 'neck', 'womens', 'regular', 'top']"
cover story,solid round neck polyester womens regular top,"Size:Small,X-Small",1590.0,990.0,38.0,regular top,grey,"['solid', 'round', 'neck', 'polyester', 'womens', 'regular', 'top']"
and,solid polyester round neck womens top,"Size:8,10,12,14,16,18",2099.0,1679.0,20.0,top,white,"['solid', 'polyester', 'round', 'neck', 'womens', 'top']"
and,solid tencel collar neck womens top,"Size:8,10,12,14,18",1899.0,1329.0,30.0,top,pink,"['solid', 'tencel', 'collar', 'neck', 'womens', 'top']"
allen solly,solid polyester regular fit womens blazer,"Size:Large,Medium,Small,X-Large",3799.0,2279.0,40.0,blazer,black,"['solid', 'polyester', 'regular', 'fit', 'womens', 'blazer']"
van heusen,solid polyester round neck womens jacket,"Size:Large,Medium,Small,X-Small",3499.0,1999.0,43.0,jacket,olive,"['solid', 'polyester', 'round', 'neck', 'womens', 'jacket']"
altlife,solid cotton ankle length womens active wear joggers,"Size:28,30,32,34,36",899.0,449.0,50.0,active wear joggers,berry,"['solid', 'cotton', 'ankle', 'length', 'womens', 'active', 'wear', 'joggers']"
madame,solid choker neck polyester womens flared dress,Size:Small,3699.0,1849.0,50.0,flared dress,bottle green,"['solid', 'choker', 'neck', 'polyester', 'womens', 'flared', 'dress']"
insense,printed regular fit cotton womens short set,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,short set,pink,"['printed', 'regular', 'fit', 'cotton', 'womens', 'short', 'set']"
faballey,floral georgette off shoulder womens maxi dress,"Size:Medium,Small,X-Small",2600.0,1300.0,50.0,maxi dress,brown,"['floral', 'georgette', 'shoulder', 'womens', 'maxi', 'dress']"
zink london,womens regular fit v neck floral printed top,Size:X-Small,1599.0,399.0,75.0,regular fit v neck floral printed top,multi,"['womens', 'regular', 'fit', 'v', 'neck', 'floral', 'printed', 'top']"
stop,textured mandarin polyester womens coat,"Size:Large,Medium,Small,X-Large",2999.0,1499.0,50.0,coat,navy,"['textured', 'mandarin', 'polyester', 'womens', 'coat']"
and,solid viscose collar neck womens straight top,"Size:8,10,12,14,16,18",2299.0,1839.0,20.0,straight top,white,"['solid', 'viscose', 'collar', 'neck', 'womens', 'straight', 'top']"
insense,printed cotton round neck womens regular fit t-shirt,Size:X-Small,399.0,199.0,50.0,regular fit t-shirt,rust,"['printed', 'cotton', 'round', 'neck', 'womens', 'regular', 'fit', 't-shirt']"
insense,womens cotton printed pyjama set,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,cotton printed pyjama set,anthra,"['womens', 'cotton', 'printed', 'pyjama', 'set']"
zink london,womens structure round neck shift midi dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2399.0,699.0,71.0,structure round neck shift midi dress,off white,"['womens', 'structure', 'round', 'neck', 'shift', 'midi', 'dress']"
forever new,solid polyester v neck womens regular top,"Size:6,8,10,12",3200.0,1760.0,45.0,regular top,porcelain,"['solid', 'polyester', 'v', 'neck', 'womens', 'regular', 'top']"
