BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour,Tokenized_Details
faballey,printed v neck georgette womens regular dresses,"Size:Large,Medium,Small",1950.0,975.0,50.0,regular dresses,blue,"['printed', 'v', 'neck', 'georgette', 'womens', 'regular', 'dresses']"
samshek,solid crepe v neck womens party wear shirt,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",2790.0,1953.0,30.0,party wear shirt,black,"['solid', 'crepe', 'v', 'neck', 'womens', 'party', 'wear', 'shirt']"
sera,floral off shoulder polyester womens regular dress,"Size:Large,Medium,Small,X-Large",1998.0,999.0,50.0,regular dress,black,"['floral', 'shoulder', 'polyester', 'womens', 'regular', 'dress']"
zink london,solid cotton sweetheart neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,959.0,40.0,top,green,"['solid', 'cotton', 'sweetheart', 'neck', 'womens', 'top']"
vero moda,textured cotton off shoulder womens top,"Size:Large,Medium,Small,X-Large,X-Small",2299.0,1609.0,30.0,top,pink,"['textured', 'cotton', 'shoulder', 'womens', 'top']"
stop,regular fit full length acrylic womens palazzos,"Size:Large/X-Large,Small/Medium",1499.0,749.0,50.0,palazzos,grey,"['regular', 'fit', 'full', 'length', 'acrylic', 'womens', 'palazzos']"
gipsy,womens v neck printed knee length dress,"Size:Medium,Small,X-Large",2795.0,1956.0,30.0,v neck printed knee length dress,navy,"['womens', 'v', 'neck', 'printed', 'knee', 'length', 'dress']"
samshek,solid boat neck cotton womens regular dress,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",2799.0,2239.0,20.0,regular dress,black,"['solid', 'boat', 'neck', 'cotton', 'womens', 'regular', 'dress']"
pepe,stripes viscose blend round neck womens casual shirt,"Size:Large,Medium,Small,X-Large",1999.0,1199.0,40.0,casual shirt,lime green,"['stripes', 'viscose', 'blend', 'round', 'neck', 'womens', 'casual', 'shirt']"
faballey,geometric round neck polyester womens midi dress,"Size:Large,Medium,Small,X-Large,X-Small",2200.0,1760.0,20.0,midi dress,white,"['geometric', 'round', 'neck', 'polyester', 'womens', 'midi', 'dress']"
faballey,printed georgette strappy neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2250.0,1800.0,20.0,regular dress,black,"['printed', 'georgette', 'strappy', 'neck', 'womens', 'regular', 'dress']"
sera,womens printed woven fit and flare dress,"Size:Large,Medium,Small,X-Large",1494.0,747.0,50.0,printed woven fit and flare dress,blue,"['womens', 'printed', 'woven', 'fit', 'flare', 'dress']"
only,colour block cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,899.0,40.0,t-shirt,green,"['colour', 'block', 'cotton', 'round', 'neck', 'womens', 't-shirt']"
global desi,floral viscose rayon halter neck womens straight top,"Size:Large,Medium,Small,X-Small",1999.0,1199.0,40.0,straight top,red,"['floral', 'viscose', 'rayon', 'halter', 'neck', 'womens', 'straight', 'top']"
faballey,floral georgette square neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small",2200.0,1760.0,20.0,dress,white,"['floral', 'georgette', 'square', 'neck', 'womens', 'dress']"
latin quarters,solid v neck polyester womens dress,"Size:S,M,L,XL",2999.0,2099.0,30.0,dress,black,"['solid', 'v', 'neck', 'polyester', 'womens', 'dress']"
faballey,checks georgette womens regular top,"Size:Small,X-Small",1500.0,750.0,50.0,regular top,pink,"['checks', 'georgette', 'womens', 'regular', 'top']"
spykar,regular fit regular cotton womens jeans,"Size:26,28,30,32,34,36",2799.0,1959.0,30.0,jeans,black,"['regular', 'fit', 'regular', 'cotton', 'womens', 'jeans']"
faballey,solid viscose square neck womens regular top,"Size:Large,Medium,Small,X-Small",1400.0,700.0,50.0,regular top,blue,"['solid', 'viscose', 'square', 'neck', 'womens', 'regular', 'top']"
spykar,printed cotton blend boat neck womens regular t-shirt,"Size:Large,Medium,Small,X-Large",1299.0,909.0,30.0,regular t-shirt,ecru,"['printed', 'cotton', 'blend', 'boat', 'neck', 'womens', 'regular', 't-shirt']"
madame,solid round neck cotton womens casual dress,"Size:Large,X-Large",1899.0,949.0,50.0,casual dress,peach,"['solid', 'round', 'neck', 'cotton', 'womens', 'casual', 'dress']"
gipsy,printed v-neck polyester womens flared dress,Size:XX-Large,2795.0,1397.0,50.0,flared dress,yellow,"['printed', 'v-neck', 'polyester', 'womens', 'flared', 'dress']"
lovegen,womens square neck solid dungaree dress,Size:Small,1899.0,759.0,60.0,square neck solid dungaree dress,maroon,"['womens', 'square', 'neck', 'solid', 'dungaree', 'dress']"
vero moda,cotton skinny fit womens jeans,"Size:26,27,28,29,30,31,32,33,34",3499.0,2799.0,20.0,jeans,blue,"['cotton', 'skinny', 'fit', 'womens', 'jeans']"
pepe,solid viscose scoop neck womens top,"Size:Large,Medium,Small,X-Large",1999.0,1199.0,40.0,top,white,"['solid', 'viscose', 'scoop', 'neck', 'womens', 'top']"
vero moda,textured cotton round neck womens  t-shirts,"Size:Large,Medium,Small,X-Large,X-Small",999.0,699.0,30.0,t-shirts,pink,"['textured', 'cotton', 'round', 'neck', 'womens', 't-shirts']"
mystere paris,checks cotton regular fit womens night wear pyjama,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,539.0,40.0,night wear pyjama,red,"['checks', 'cotton', 'regular', 'fit', 'womens', 'night', 'wear', 'pyjama']"
madame,printed cotton round neck womens regular fit top,Size:XX-Large,1199.0,599.0,50.0,regular fit top,black,"['printed', 'cotton', 'round', 'neck', 'womens', 'regular', 'fit', 'top']"
adidas,striped regular fit cotton womens shorts,"Size:Large,Medium,Small,X-Small",2499.0,1749.0,30.0,shorts,black,"['striped', 'regular', 'fit', 'cotton', 'womens', 'shorts']"
rare,sleeveless regular fit womens casual top,"Size:Large,Medium,Small,X-Small",1399.0,629.0,55.0,casual top,yellow,"['sleeveless', 'regular', 'fit', 'womens', 'casual', 'top']"
madame,womens stripes collared shirt,Size:Small,1999.0,999.0,50.0,stripes collared shirt,black,"['womens', 'stripes', 'collared', 'shirt']"
faballey,solid collar neck synthetic leather womens casual wear jacket,"Size:Small,X-Small",3400.0,1700.0,50.0,casual wear jacket,black,"['solid', 'collar', 'neck', 'synthetic', 'leather', 'womens', 'casual', 'wear', 'jacket']"
