BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour
life,checks cotton blend collar neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular top,sage
life,embroidered cotton blend round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,top,blue
rare,solid polyester blend boat neck womens flared dress,"Size:Large,Medium,Small,X-Large",1699.0,764.0,55.0,flared dress,black
and,solid polyester square neck womens flared dress,"Size:10,12,14,16,18",2699.0,2159.0,20.0,flared dress,sage
life,solid cotton blend round neck womens t-shirt,"Size:Large,Medium,X-Large,X-Small",899.0,449.0,50.0,t-shirt,natural
kraus,wide leg fit ankle length cotton womens jeans,"Size:28,30,32",1695.0,1525.0,10.0,jeans,blue
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Small",699.0,349.0,50.0,t-shirt,red
fratini,solid square neck polyester womens woven top,"Size:Large,Medium,X-Large,XX-Large",999.0,499.0,50.0,woven top,natural
fratini,solid v-neck tencel womens a-line dress,"Size:Large,Small",1699.0,849.0,50.0,a-line dress,light blue
zink london,printed cotton round neck womens t-shirt,Size:X-Large,1299.0,399.0,69.0,t-shirt,brown
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32",999.0,499.0,50.0,jeans,mid stone
zink london,textured polyester round neck womens straight top,"Size:Large,Small,X-Small",1399.0,839.0,40.0,straight top,natural
allen solly,printed stylized polyester womens fit and flare dress,"Size:Large,Medium,Small,X-Large",2499.0,1499.0,40.0,fit and flare dress,grey
stop,solid polyester regular neck womens top,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,649.0,50.0,top,sage
only,lace cotton collar neck womens top,"Size:34,36,38,40,42",2499.0,1499.0,40.0,top,red
fratini,regular fit regular length cotton blend womens jeans,"Size:28,30,32,34,36",1299.0,649.0,50.0,jeans,white
fratini,printed square neck polyester womens regular dress,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,849.0,50.0,regular dress,pink
van heusen,solid polyester v neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,999.0,41.0,shirt,white
only,self design viscose square neck womens top,"Size:34,36,38,40,42",2299.0,1379.0,40.0,top,white
life,printed blended round neck womens shift dress,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,shift dress,navy
zink london,solid collar neck polyester womens casual shirt,"Size:Medium,Small,XX-Large",1699.0,849.0,50.0,casual shirt,green
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,sage
faballey,embroidered cotton square neck womens regular dress,"Size:Large,Medium,Small,X-Large,X-Small",2600.0,2080.0,20.0,regular dress,white
life,printed cotton blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,t-shirt,black
infuse,floral rayon v neck womens strappy dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,749.0,50.0,strappy dress,pista green
kraus,baggy fit ankle length cotton womens jeans,"Size:28,30,32,34",1595.0,1116.0,30.0,jeans,light blue
life,printed cotton lycra round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,blue
fratini,solid polyester blend round neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1899.0,949.0,50.0,a-line dress,pink
madame,solid polyester v neck womens top,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,1189.0,30.0,top,blush
kraus,super skinny fit ankle length cotton blend womens jeans,"Size:28,30,32,34,36,38",1895.0,947.0,50.0,jeans,dark blue
kraus,skinny fit full length cotton blend womens jeans,"Size:28,30,32,36",1895.0,947.0,50.0,jeans,navy
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449.0,50.0,formal shirt,white
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999.0,999.0,50.0,jeans,pink
zink london,printed cotton collar neck womens dress,"Size:Large,Medium,Small,X-Small,XX-Large",2899.0,1739.0,40.0,dress,blue
life,skinny fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",999.0,499.0,50.0,jeans,black
stop,solid regular neck cotton blend womens formal shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449.0,50.0,formal shirt,powder blue
altlife,solid polyester blend ankle length womens tights,"Size:28,30,32,34,36",1299.0,649.0,50.0,tights,misty lilac
life,solid cotton wide neck womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,849.0,50.0,a-line dress,powder blue
allen solly,printed v-neck viscose womens fit and flare dress,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,1499.0,40.0,fit and flare dress,black
stop,solid regular fit polyester womens formal pants,"Size:28,30,34,36",1699.0,849.0,50.0,formal pants,black
and,solid polyester v neck womens regular dress,"Size:8,18",2899.0,2319.0,20.0,regular dress,wine
rare,floral polyester off shoulder womens regular top,"Size:Large,Small",999.0,499.0,50.0,regular top,blue
zink london,stripes cotton round neck womens straight top,"Size:Large,Medium,Small,X-Large,X-Small",1399.0,699.0,50.0,straight top,multi
life,fit above knee denim womens casual skirt,"Size:26,28,30,32,34,36",1299.0,649.0,50.0,casual skirt,black
fratini,printed polyester round neck womens a-line dress,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large",1999.0,999.0,50.0,a-line dress,yellow
rare,floral polyester round neck womens flared dress,"Size:Large,Medium,Small,X-Large",1999.0,899.0,55.0,flared dress,black
latin quarters,solid polyester womens regular blouse,"Size:S,M,L,XL",1899.0,949.0,50.0,regular blouse,wine
fratini,printed polyester blend round neck womens regular top,"Size:Medium,Small",999.0,499.0,50.0,regular top,yellow
zink london,embroidered viscose mandarin womens top,"Size:Large,Medium,Small,X-Small,XX-Large",2199.0,1319.0,40.0,top,blue
stop,solid regular neck cotton stretch womens formal shirt,"Size:Large,Small,X-Large,XX-Large",999.0,499.0,50.0,formal shirt,bottle green
rare,half sleeves regular fit womens casual dress,"Size:Large,Medium,Small,X-Large",1999.0,899.0,55.0,casual dress,navy
latin quarters,printed polyester womens regular dress,"Size:S,M,L,XL,XX-Large",2799.0,1959.0,30.0,regular dress,red
zink london,solid polyester round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,899.0,40.0,top,navy
stop,solid collar neck cotton blend womens regular top,"Size:Large,X-Large,XX-Large",999.0,499.0,50.0,regular top,peach
cover story,solid viscose collar neck womens top,"Size:Small,X-Small",2290.0,1603.0,30.0,top,peach
